  x                    y
-------------------------------
 -0.25              1.09766
 -1.25              8.91016
 -0.50              1.56250
  1.50              1.56250
  2.25              8.91016
  0.00              1.00000
 -1.00              5.00000
  2.75             24.16016
 -1.75             24.16016
  2.00              5.00000
  0.25              1.03516
  1.75              2.72266
 -1.50             15.06250
  0.75              1.03516
  0.50              1.06250
  2.50             15.06250
  1.00              1.00000
 -2.00             37.00000
  1.25              1.09766
 -0.75              2.72266
